Case Number,Business Name,Agent Attorney Name,Worksite State,Randomization Group,Link
H-400-24002-606302," A & A Attracions, Inc.",James Judkins,ILLINOIS,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-606302
H-400-24002-605590, CAMDEL CORPORATION,MALCOLM SEHEULT,MAINE,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-605590
H-400-24002-604939," Crystal House Cleaning, LLC",John  Bedell,WYOMING,E,https://seasonaljobs.dol.gov/jobs/H-400-24002-604939
H-400-24002-605347, Grandfather Golf and Country Club,Keith Pabian,NORTH CAROLINA,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-605347
H-400-24003-611070, Katway Inc dba Acadia Sunrise Motel, ,MAINE,D,https://seasonaljobs.dol.gov/jobs/H-400-24003-611070
H-400-24002-608315," LeMay Concrete Construction, Inc.",Michele Contreras,KANSAS,F,https://seasonaljobs.dol.gov/jobs/H-400-24002-608315
H-400-24002-604761," MJ Dalsin Co of ND, Inc.",John Bedell,NORTH DAKOTA,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-604761
H-400-24002-604836, Montiel Construction Inc.,John Bedell,IDAHO,D,https://seasonaljobs.dol.gov/jobs/H-400-24002-604836
H-400-24003-611068," Nick's Landscape Services, Inc.",Damjan Denoble,CALIFORNIA,D,https://seasonaljobs.dol.gov/jobs/H-400-24003-611068
H-400-24004-615698, Ottawa Landscapes LLC,Caroline Mueller,OHIO,D,https://seasonaljobs.dol.gov/jobs/H-400-24004-615698
H-400-24002-607137, Pastry Delights LLC,Michele Contreras,NEW JERSEY,D,https://seasonaljobs.dol.gov/jobs/H-400-24002-607137
H-400-24002-604815, Serenity Development and Management Inc.,John Bedell,WYOMING,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-604815
H-400-24002-602393, THE COUNTRY CLUB INC,JOHN GISMONDI,OHIO,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-602393
H-400-24002-604089, Triple V Concrete Construction Inc,Aaron Bernard,IOWA,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-604089
H-400-24004-617927, Triple V Concrete Construction Inc,Aaron Bernard,MINNESOTA,D,https://seasonaljobs.dol.gov/jobs/H-400-24004-617927
H-400-24004-618039, Triple V Concrete Construction Inc,Aaron Bernard,MINNESOTA,D,https://seasonaljobs.dol.gov/jobs/H-400-24004-618039
H-400-24004-617985, Triple V Concrete Construction Inc,Aaron Bernard,MINNESOTA,F,https://seasonaljobs.dol.gov/jobs/H-400-24004-617985
H-400-24002-609758, True North Contracting Inc.,Savanna Barksdale,MICHIGAN,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-609758
H-400-24002-604798, Wheaton-Dumont Coop Elevator,John Bedell,MINNESOTA,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-604798
H-400-24002-606271,¿3499 S Straits LLC ,Michele Contreras,MICHIGAN,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-606271
H-400-24002-606264,¿4531 S Straits LLC ,Michele Contreras,MICHIGAN,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-606264
H-400-24002-606283,"¿BHLP, LLC ",Michele Contreras,MAINE,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-606283
H-400-24002-606284,"¿BHLP, LLC  ",Michele Contreras,MAINE,D,https://seasonaljobs.dol.gov/jobs/H-400-24002-606284
